Statement Of Cash Flows
"For the year month March 22, 2025"

Cash in Bank-beg,12.00
Cash on Hand-beg,12.00

Cash inflows:
Monthly dues collected,12.00
Certifications issued,12.00
Membership fee,12.00
Vehicle stickers,121.00
Rentals (covered courts),"1,212.00"
Solicitations/Donations,12.00
Interest Income on bank deposits,12.00
Livelihood Management Fee,12.00
Others,12.00
Total Cash receipt,"1,417.00"

Less:
Cash Out Flows/Disbursements,"1,431.00"
Snacks/Meals for visitors,12.00
Transportation expenses,12.00
Office supplies expense,2.00
Printing and photocopy,121.00
Labor,12.00
Billboard expense,12.00
Clearing/cleaning charges,
Miscellaneous expenses,"1,212.00"
Federation fee,12.00
HOA-BOD Uniforms,
BOD Mtg,
General Assembly,
Cash Deposit to bank,12.00
Withholding tax on bank deposit,
Refund for seri-culture,
Others,12.00
,12.00

Ending cash balance,10.00

Breakdown of cash:
Cash in Bank,12.00
Cash on Hand,12.00
